  5  4       -38
 STEP TIME TOTE TOTK ENER
 EP-K TEMP BOND ANGL DIHE
 IMPR VDW  ELEC HBON HARM
 DMC  RGY 
    -233561.5628        751.0904       1317.5771          0.0000          0.0000
          0.0000       1320.3708      -6341.0301          0.0000          0.0000
          0.0000          0.0000
              75          0.0750    -229427.1382       2027.3670    -231454.5052
    -233481.8722        739.6271       1311.7978          0.0000          0.0000
          0.0000       1364.8111      -6331.3762          0.0000          0.0000
          0.0000          0.0000
              76          0.0760    -229409.0000       2006.7990    -231415.7990
    -233422.5980        732.0956       1318.0427          0.0000          0.0000
          0.0000       1399.5083      -6333.6940          0.0000          0.0000
          0.0000          0.0000
              77          0.0770    -229396.9048       2044.8447    -231441.7495
    -233486.5942        746.0734       1330.5012          0.0000          0.0000
          0.0000       1369.4281      -6341.9535          0.0000          0.0000
          0.0000          0.0000
              78          0.0780    -229379.3921       2091.1050    -231470.4971
    -233561.6020        762.9208       1337.8948          0.0000          0.0000
          0.0000       1338.2478      -6346.7653          0.0000          0.0000
          0.0000          0.0000
              79          0.0790    -229357.3199       2115.8607    -231473.1807
    -233589.0414        771.9318       1335.3439          0.0000          0.0000
          0.0000       1333.4769      -6341.9708          0.0000          0.0000
          0.0000          0.0000
              80          0.0800    -229334.2322       2132.3787    -231466.6109
    -233598.9897        777.9767       1325.7334          0.0000          0.0000
          0.0000       1338.8699      -6331.0587          0.0000          0.0000
          0.0000          0.0000
              81          0.0810    -229314.4423       2138.0495    -231452.4918
    -233590.5414        780.0794       1317.6017          0.0000          0.0000
          0.0000       1353.2262      -6323.1134          0.0000          0.0000
          0.0000          0.0000
              82          0.0820    -229289.7153       2151.5962    -231441.3116
    -233592.9078        785.0669       1317.6738          0.0000          0.0000
          0.0000       1364.5861      -6323.4155          0.0000          0.0000
          0.0000          0.0000
              83          0.0830    -229269.5934       2200.1544    -231469.7478
    -233669.9022        802.8201       1325.1564          0.0000          0.0000
          0.0000       1337.2681      -6332.1970          0.0000          0.0000
          0.0000          0.0000
              84          0.0840    -229240.0715       2245.4908    -231485.5623
    -233731.0531        819.3810       1333.2230          0.0000          0.0000
          0.0000       1322.9468      -6342.0055          0.0000          0.0000
          0.0000          0.0000
              85          0.0850    -229205.1335       2283.0717    -231488.2052
    -233771.2769        832.9398       1335.7543          0.0000          0.0000
          0.0000       1323.5851      -6348.1026          0.0000          0.0000
          0.0000          0.0000
              86          0.0860    -229167.5453       2317.7951    -231485.3404
    -233803.1354        845.5953       1333.5451          0.0000          0.0000
          0.0000       1329.7256      -6349.4826          0.0000          0.0000
          0.0000          0.0000
              87          0.0870    -229121.0874       2359.8021    -231480.8895
    -233840.6917        860.9868       1329.4298          0.0000          0.0000
          0.0000       1337.0006      -6348.5289          0.0000          0.0000
          0.0000          0.0000
              88          0.0880    -229070.7610       2403.1804    -231473.9414
    -233877.1217        876.8022       1326.9248          0.0000          0.0000
          0.0000       1347.0823      -6349.5322          0.0000          0.0000
          0.0000          0.0000
              89          0.0890    -229037.2174       2407.8528    -231445.0702
    -233852.9230        878.6149       1329.0682          0.0000          0.0000
          0.0000       1376.5053      -6352.6398          0.0000          0.0000
          0.0000          0.0000
              90          0.0900    -228991.1987       2383.3869    -231374.5856
    -233757.9725        869.6612       1333.3458          0.0000          0.0000
          0.0000       1443.9141      -6354.2775          0.0000          0.0000
          0.0000          0.0000
              91          0.0910    -228979.5870       2433.6921    -231413.2791
    -233846.9712        887.9551       1335.3595          0.0000          0.0000
          0.0000       1397.5667      -6349.0727          0.0000          0.0000
          0.0000          0.0000
              92          0.0920    -228948.2615       2465.2792    -231413.5407
